time,modified
24.892,-97.807198
24.92,-93.775833
24.938999,-97.82151
24.958,-99.558098
24.976999,-103.126694
25.004999,-104.476845
25.027,-107.992966
25.049,-102.654381
25.070999,-106.265915
25.093,-106.547394
25.118,-106.299316
25.139999,-104.70108
25.162001,-107.081734
25.190001,-115.187408
25.211,-116.709305
25.237,-115.163551
25.261999,-120.316071
25.287001,-126.747177
25.312,-130.36348
25.34,-133.469299
25.362,-135.926285
25.381001,-132.424484
25.403,-133.60289
25.424999,-137.729675
25.447001,-134.891022
25.525,-134.418701
25.549999,-130.878738
25.580999,-132.033279
25.606001,-128.531479
25.628,-125.416107
25.653,-128.631668
25.677999,-135.501694
25.705999,-139.017807
25.728001,-135.301315
25.754,-139.509201
25.778999,-144.451797
25.797001,-147.314316
25.816,-150.024155
25.834999,-150.31041
25.854,-152.848495
25.875999,-152.872345
25.898001,-149.785614
25.92,-148.502258
25.938,-154.313156
25.962999,-152.290314
25.985001,-147.657806
26.007,-151.755966
26.032,-153.282639
26.056999,-156.774902
26.079,-154.546921
26.104,-154.938126
26.129999,-151.436325
26.155001,-157.905594
26.177,-161.097305
26.205,-160.119278
26.23,-161.703201
26.254999,-176.1875
26.280001,-186.063156
26.308001,-206.363129
26.339001,-233.432922
26.365,-259.796661
26.389,-284.757721
26.410999,-298.998718
26.440001,-317.590729
26.458,-336.702759
26.476999,-358.324249
26.496,-367.837311
26.518,-382.135559
26.537001,-387.459839
26.555,-395.465302
26.575001,-410.064117
26.599001,-419.481781
26.621,-452.033295
26.646,-472.328491
26.672001,-491.927124
26.697001,-511.354034
26.721001,-532.507996
26.74,-537.326538
26.768999,-562.588196
26.790001,-574.272034
26.812,-582.110535
26.884001,-601.017395
26.906,-617.681946
26.938,-629.380127
26.962999,-629.666321
26.985001,-632.905762
27.01,-631.951599
27.032,-631.202576
27.049999,-624.733276
27.072001,-632.858032
27.094,-630.210205
27.113001,-626.202698
27.138,-636.889404
27.157,-647.62384
27.176001,-656.13501
27.198,-661.654907
27.223,-672.21759
27.247999,-696.663391
27.27,-704.91217
27.295,-702.851196
27.323,-700.651855
27.344999,-704.568726
27.370001,-714.654297
27.395,-727.087097
27.42,-737.516174
27.441999,-748.808777
27.466999,-770.258545
27.489,-798.611694
27.514,-828.076477
27.539,-866.930298
27.563999,-895.698486
27.586,-921.456299
27.605,-938.011169
27.627001,-954.227295
27.649,-965.758423
27.671,-984.150085
27.691999,-1010.413574
27.721001,-1043.661621
27.749001,-1066.566528
27.771,-1087.114502
27.799,-1112.004028
27.820999,-1127.017944
27.846001,-1176.367554
27.871,-1215.230957
27.886999,-1232.821045
27.906,-1259.098877
27.927,-1303.959229
27.955999,-1347.932129
27.978001,-1373.422852
28.003,-1404.23291
28.024,-1450.562744
28.049999,-1498.900879
28.075001,-1535.016235
28.097,-1563.665283
28.122,-1624.188232
28.146999,-1695.226196
28.169001,-1725.296875
28.191,-1779.994629
28.256001,-1868.555908
28.278,-1904.265747
28.306999,-1957.5896
28.329,-1969.244751
28.353001,-1986.734741
28.378,-2036.771362
28.407,-2076.240479
28.429001,-2094.479492
28.454,-2132.369629
28.479,-2156.395752
28.507,-2178.584961
28.528999,-2189.610352
28.556999,-2203.813232
28.576,-2205.253906
28.601,-2198.822754
28.622999,-2198.388672
28.642,-2223.874512
28.67,-2230.873291
28.691999,-2221.107422
28.716999,-2230.296143
28.739,-2250.443359
28.767,-2260.734131
28.789,-2294.77417
28.813999,-2369.934082
28.833,-2416.430908
28.855,-2435.39502
28.872999,-2443.180908
28.895,-2416.077881
28.924,-2429.48877
28.941999,-2465.928467
28.971001,-2489.634766
28.993,-2490.574707
29.021,-2507.496826
29.046,-2511.380371
29.068001,-2543.826904
29.09,-2580.739014
29.115,-2577.06543
29.139999,-2589.402832
29.162001,-2589.588867
29.187,-2600.638184
29.209,-2616.243652
29.231001,-2603.595947
29.256001,-2581.478516
29.281,-2530.258545
29.306,-2499.085938
29.327999,-2491.686279
29.356001,-2468.151611
29.378,-2438.710693
29.406,-2393.421143
29.424999,-2395.615723
29.444,-2396.588867
29.462,-2370.520996
29.481001,-2340.731689
29.5,-2341.619141
29.516001,-2344.419678
29.534,-2321.548096
29.594,-2344.338623
29.625,-2293.529053
29.641001,-2266.444824
29.663,-2248.015137
29.684999,-2242.075439
29.704,-2232.390625
29.726,-2219.752441
29.747,-2230.520264
29.773001,-2244.546631
29.795,-2220.954834
29.823,-2226.197998
29.844,-2234.46582
29.870001,-2206.346436
29.888,-2184.009277
29.91,-2200.082275
29.931999,-2206.842529
29.957001,-2178.160156
29.983,-2180.574219
30.004,-2184.720215
30.025999,-2173.169922
30.054001,-2160.255371
30.076,-2162.025146
30.098,-2158.766846
30.122999,-2135.590088
30.145,-2118.90625
30.17,-2132.904053
30.188999,-2134.583252
30.211,-2133.509766
30.239,-2123.266846
30.264,-2132.035645
30.289,-2118.352783
30.311001,-2108.386475
30.337,-2104.07373
30.365,-2104.040283
30.386,-2112.06958
30.408001,-2125.976807
30.437,-2104.95166
30.455,-2100.495605
30.476999,-2100.910645
30.503,-2119.402588
30.525,-2120.743164
30.546,-2108.935303
30.568001,-2104.961182
30.59,-2099.784668
30.612,-2093.577881
30.636999,-2087.585693
30.656,-2088.77832
30.681,-2070.983154
30.702999,-2065.596924
30.725,-2076.297852
30.747,-2073.306641
30.771999,-2068.70752
30.797001,-2065.806641
30.819,-2071.59375
30.841,-2056.522705
30.863001,-2038.884888
30.888,-2045.9552
30.91,-2051.69458
30.976,-2074.542236
31.0,-2058.63623
31.025,-2054.275635
31.047001,-2074.012695
31.073,-2067.45752
31.098,-2050.740479
31.122,-2059.537842
31.148001,-2052.963623
31.173,-2044.843628
31.198,-2055.072266
31.219999,-2066.574951
31.239,-2062.357422
31.264,-2055.592285
31.288,-2074.885742
31.313999,-2056.250732
31.339001,-2027.835571
31.367001,-2012.459106
31.392,-2007.220703
31.414,-1985.403564
31.436001,-1998.84314
31.458,-2024.858521
31.486,-2025.846069
31.504999,-2030.779175
31.527,-2050.354004
31.549,-2047.229004
31.573999,-2014.396118
31.596001,-1992.750732
31.621,-1989.974121
31.639999,-1992.054199
31.662001,-1989.606689
31.684,-1990.107666
31.705,-2009.405762
31.73,-2020.159302
31.754999,-2022.973999
31.777,-2020.354858
31.802,-2016.251953
31.823999,-2015.407471
31.849001,-2023.33667
31.874001,-2038.870483
31.899,-2017.69751
31.924999,-2020.579102
31.943001,-2019.119263
31.965,-2011.280762
31.99,-2024.48645
